Vi tich phan 2B
StudentID,FinalGrade
22120001,9.70
22120002,9.70
22120003,9.70
22120004,9.70
22120006,9.70
22120007,9.70
22120008,9.70
22120009,9.70
22120010,9.70
22120011,9.70
22120013,9.70
22120014,9.70
22120015,9.70
22120016,9.70
22120017,9.70
22120018,9.70
22120019,9.70
22120020,9.70
22120021,9.70
22120022,9.70
22120023,9.70
22120024,9.70
22120026,9.70
22120027,9.70
22120028,9.70
22120029,9.70
22120030,9.70
22120031,9.70
22120032,9.70
22120033,9.70
22120034,9.70
22120035,9.70
22120036,9.70
22120037,9.70
22120040,9.70
22120041,9.70
22120042,9.70
22120043,9.70
22120046,9.70
22120047,9.70
22120048,9.70
22120050,9.70
22120051,9.20
22120052,9.20
22120053,9.20
22120054,9.20
22120056,9.20
22120057,9.20
22120058,9.20
22120059,9.20
22120061,9.20
22120062,9.20
22120063,9.20
22120064,9.20
22120065,10.0
22120066,10.0
22120067,10.0
22120069,10.0
22120070,10.0
22120071,10.0
22120072,10.0
22120073,10.0
22120074,10.0
22120075,9.70
22120076,9.70
22120078,9.70
22120080,9.70
22120081,7.80
22120083,9.20
22120084,9.20
22120086,9.20
22120088,9.20
22120089,9.70
